"date","shown","clicked","converted","avg_cost_per_click","total_revenue","ad"
2015-10-01,65877,2339,43,0.9,641.62,"ad_group_1"
2015-10-02,65100,2498,38,0.94,756.37,"ad_group_1"
2015-10-03,70658,2313,49,0.86,970.9,"ad_group_1"
2015-10-04,69809,2833,51,1.01,907.39,"ad_group_1"
2015-10-05,68186,2696,41,1,879.45,"ad_group_1"
2015-10-06,66864,2617,46,0.98,746.48,"ad_group_1"
2015-10-07,68227,2390,42,0.94,462.33,"ad_group_1"
2015-10-08,68520,2909,46,1.07,441.28,"ad_group_1"
2015-10-09,67250,2385,49,0.88,602.14,"ad_group_1"
2015-10-10,67873,2614,42,0.93,490.55,"ad_group_1"
2015-10-11,66747,2296,50,0.87,448.04,"ad_group_1"
2015-10-12,72211,2886,51,0.97,1199.39,"ad_group_1"
2015-10-13,71101,3335,50,1.14,673.32,"ad_group_1"
2015-10-14,75676,2885,54,0.96,973.77,"ad_group_1"
2015-10-15,70274,2236,51,0.81,976.68,"ad_group_1"
2015-10-16,72223,2765,45,0.96,735.16,"ad_group_1"
2015-10-17,68489,3221,42,1.12,389.33,"ad_group_1"
2015-10-18,70423,2598,62,0.95,1112.61,"ad_group_1"
2015-10-19,67222,2693,47,0.97,907.68,"ad_group_1"
2015-10-20,72393,2903,44,0.99,827.21,"ad_group_1"
2015-10-21,69372,2677,51,0.97,1220.26,"ad_group_1"
2015-10-22,66850,2349,46,0.88,431.73,"ad_group_1"
2015-10-23,67967,2716,46,0.96,747.99,"ad_group_1"
2015-10-24,63166,2458,47,0.96,892.89,"ad_group_1"
2015-10-25,64943,2619,40,1.06,634.72,"ad_group_1"
2015-10-26,69240,2379,47,0.89,296,"ad_group_1"
2015-10-27,70721,2856,49,0.97,906.43,"ad_group_1"
2015-10-28,68030,3035,50,1.08,805.95,"ad_group_1"
2015-10-29,67087,2829,55,1.01,1552.51,"ad_group_1"
2015-10-30,64381,2464,45,0.96,733.57,"ad_group_1"
2015-10-31,67336,2598,48,0.97,611.25,"ad_group_1"
2015-11-01,65199,2433,44,0.95,256.16,"ad_group_1"
2015-11-02,67780,2487,49,0.93,519.25,"ad_group_1"
2015-11-03,71552,2477,50,0.9,509.56,"ad_group_1"
2015-11-04,70256,2888,42,1,375.76,"ad_group_1"
2015-11-05,67618,2549,44,0.96,781.58,"ad_group_1"
2015-11-06,65356,2411,51,0.93,1030.53,"ad_group_1"
2015-11-07,72183,2414,42,0.85,560.04,"ad_group_1"
2015-11-08,71716,3191,49,1.09,783.2,"ad_group_1"
2015-11-09,70231,2703,47,0.96,1024.04,"ad_group_1"
2015-11-10,69090,2546,52,0.93,1038.73,"ad_group_1"
2015-11-11,70656,2967,44,1.05,688.3,"ad_group_1"
2015-11-12,69647,2375,52,0.87,809.7,"ad_group_1"
2015-11-13,72939,2992,47,1.02,828.18,"ad_group_1"
2015-11-14,69212,2883,53,1.01,576.3,"ad_group_1"
2015-11-15,74549,2961,42,1,394.81,"ad_group_1"
2015-11-16,72724,3042,44,1.01,816.5,"ad_group_1"
2015-11-17,71322,2577,46,0.92,698.92,"ad_group_1"
2015-11-18,67866,3058,40,1.09,630.31,"ad_group_1"
2015-11-19,72607,2999,50,1,739.56,"ad_group_1"
2015-11-20,68974,3005,47,1.08,767.34,"ad_group_1"
2015-11-21,73793,2953,49,0.99,1211.82,"ad_group_1"
2015-11-22,75829,3106,46,0.98,364.25,"ad_group_1"
2015-10-01,50988,1267,109,0.7,1704.28,"ad_group_2"
2015-10-02,51934,1035,140,0.58,918.21,"ad_group_2"
2015-10-03,53386,1041,123,0.56,1548.48,"ad_group_2"
2015-10-04,52008,1521,127,0.76,1911.39,"ad_group_2"
2015-10-05,48766,1153,108,0.65,1403.14,"ad_group_2"
2015-10-06,53933,1331,136,0.69,1901.33,"ad_group_2"
2015-10-07,51941,1235,118,0.67,1894.71,"ad_group_2"
2015-10-08,50748,1048,123,0.59,3005.56,"ad_group_2"
2015-10-09,50312,1066,125,0.61,2250.06,"ad_group_2"
2015-10-10,53533,1075,119,0.6,1992.92,"ad_group_2"
2015-10-11,47941,1101,118,0.65,2227.14,"ad_group_2"
2015-10-12,53353,1423,127,0.7,2065.1,"ad_group_2"
2015-10-13,49002,1158,114,0.66,2287.92,"ad_group_2"
2015-10-14,50939,1029,119,0.57,1695.66,"ad_group_2"
2015-10-15,48257,1205,123,0.67,430.37,"ad_group_2"
2015-10-16,52733,1330,113,0.65,2493.41,"ad_group_2"
2015-10-17,49110,1071,121,0.65,2365.13,"ad_group_2"
2015-10-18,55660,1641,141,0.78,440.24,"ad_group_2"
2015-10-19,50216,1010,111,0.58,2328.17,"ad_group_2"
2015-10-20,49984,1000,129,0.6,1864.54,"ad_group_2"
2015-10-21,51055,960,112,0.57,1845.74,"ad_group_2"
2015-10-22,51654,1146,118,0.62,2057.76,"ad_group_2"
2015-10-23,53604,1191,122,0.6,1248.01,"ad_group_2"
2015-10-24,48302,1154,94,0.65,1891.32,"ad_group_2"
2015-10-25,48399,1061,113,0.63,2199.69,"ad_group_2"
2015-10-26,52221,1213,134,0.66,951.14,"ad_group_2"
2015-10-27,49410,1029,118,0.59,1042.4,"ad_group_2"
2015-10-28,51993,1083,101,0.57,1287.85,"ad_group_2"
2015-10-29,50675,1335,119,0.69,1534.07,"ad_group_2"
2015-10-30,50290,1031,122,0.57,1471.69,"ad_group_2"
2015-10-31,53007,1155,110,0.63,2352.1,"ad_group_2"
2015-11-01,47468,1217,101,0.69,2113,"ad_group_2"
2015-11-02,53939,1306,113,0.67,778.67,"ad_group_2"
2015-11-03,50997,1107,111,0.6,2167.92,"ad_group_2"
2015-11-04,49060,847,103,0.51,2265.14,"ad_group_2"
2015-11-05,51693,1292,113,0.67,1611.21,"ad_group_2"
2015-11-06,49667,908,97,0.55,2535.77,"ad_group_2"
2015-11-07,52022,1476,118,0.74,2116.45,"ad_group_2"
2015-11-08,52982,1334,114,0.68,2135.71,"ad_group_2"
2015-11-09,50647,888,103,0.55,1480.98,"ad_group_2"
2015-11-10,49352,1022,111,0.6,662.71,"ad_group_2"
2015-11-11,48553,1268,106,0.7,1278.88,"ad_group_2"
2015-11-12,53666,1068,127,0.59,1871.44,"ad_group_2"
2015-11-13,52435,1488,131,0.76,3173.49,"ad_group_2"
2015-11-14,48691,1301,115,0.67,2115.85,"ad_group_2"
2015-11-15,54047,1183,121,0.61,2341.65,"ad_group_2"
2015-11-16,47593,929,123,0.58,2108.54,"ad_group_2"
2015-11-17,51745,1302,118,0.71,2142.97,"ad_group_2"
2015-11-18,52999,1510,128,0.76,2068.47,"ad_group_2"
2015-11-19,49519,761,110,0.51,1234.64,"ad_group_2"
2015-11-20,51178,1201,126,0.66,1469.36,"ad_group_2"
2015-11-21,53358,1277,139,0.67,1644.55,"ad_group_2"
2015-11-22,50115,1129,114,0.64,601.74,"ad_group_2"
2015-10-01,148198,13842,47,2.69,1103.29,"ad_group_3"
2015-10-02,149873,13196,57,2.55,710.92,"ad_group_3"
2015-10-03,155892,12722,55,2.47,668.29,"ad_group_3"
2015-10-04,162137,15916,68,2.84,685.32,"ad_group_3"
2015-10-05,167083,13905,53,2.5,713.7,"ad_group_3"
2015-10-06,169790,17745,52,2.92,437.56,"ad_group_3"
2015-10-07,169036,15374,59,2.53,1010.86,"ad_group_3"
2015-10-08,165062,13505,63,2.41,954.02,"ad_group_3"
2015-10-09,164310,14891,67,2.61,1053.12,"ad_group_3"
2015-10-10,165674,15387,56,2.72,852.89,"ad_group_3"
2015-10-11,168555,15873,66,2.57,1007.31,"ad_group_3"
2015-10-12,166453,14205,55,2.42,919.98,"ad_group_3"
2015-10-13,170787,17306,51,2.8,679.38,"ad_group_3"
2015-10-14,174169,15124,54,2.49,956.04,"ad_group_3"
2015-10-15,168138,20848,66,3.21,761.82,"ad_group_3"
2015-10-16,173114,15002,55,2.57,1075.94,"ad_group_3"
2015-10-17,166300,18623,63,2.98,813.59,"ad_group_3"
2015-10-18,167463,13897,57,2.49,1098.22,"ad_group_3"
2015-10-19,170401,15537,61,2.6,788.52,"ad_group_3"
