"loan_id","loan_purpose","date","loan_granted","loan_repaid"
19454,"investment","2012-03-15",0,NA
496811,"investment","2012-01-17",0,NA
929493,"other","2012-02-09",0,NA
580653,"other","2012-06-27",1,1
172419,"business","2012-05-21",1,0
77085,"other","2012-08-31",0,NA
780070,"business","2012-03-14",1,1
303138,"emergency_funds","2012-08-31",1,0
91475,"investment","2012-05-25",1,1
422392,"business","2012-10-25",0,NA
725653,"home","2012-03-14",0,NA
100545,"business","2012-12-20",0,NA
597342,"home","2012-07-04",0,NA
484791,"investment","2012-07-10",0,NA
502241,"home","2012-02-17",0,NA
502729,"emergency_funds","2012-05-02",1,0
519314,"home","2012-06-11",0,NA
146962,"investment","2012-11-09",0,NA
11272,"home","2012-07-30",1,0
402986,"investment","2012-04-26",0,NA
10860,"home","2012-07-20",0,NA
870726,"home","2012-09-05",0,NA
751153,"home","2012-12-18",1,1
163069,"business","2012-10-18",1,1
584158,"investment","2012-02-08",0,NA
180527,"business","2012-10-09",1,1
781369,"emergency_funds","2012-07-06",0,NA
292037,"emergency_funds","2012-08-30",0,NA
514677,"home","2012-02-03",1,1
989185,"emergency_funds","2012-06-18",0,NA
631318,"business","2012-10-02",0,NA
80186,"investment","2012-03-21",0,NA
447947,"home","2012-09-28",0,NA
177545,"other","2012-07-20",0,NA
449688,"investment","2012-03-09",1,1
389908,"other","2012-06-08",0,NA
15935,"business","2012-05-09",1,1
15545,"home","2012-06-22",1,0
1561,"home","2012-11-22",0,NA
36348,"investment","2012-06-12",0,NA
613065,"investment","2012-09-10",1,1
592519,"business","2012-05-04",1,1
261620,"emergency_funds","2012-03-12",0,NA
174451,"home","2012-06-26",0,NA
407557,"business","2012-05-25",0,NA
441141,"other","2012-03-29",1,0
961739,"home","2012-09-11",0,NA
124263,"business","2012-12-25",1,1
42292,"home","2012-11-26",0,NA
470250,"business","2012-07-19",0,NA
384764,"emergency_funds","2012-12-12",1,1
916773,"home","2012-09-14",1,0
960283,"other","2012-11-05",0,NA
782322,"other","2012-03-26",1,1
544983,"business","2012-10-29",1,1
102858,"home","2012-05-30",0,NA
999388,"investment","2012-04-09",0,NA
700389,"emergency_funds","2012-01-11",0,NA
476672,"investment","2012-03-07",1,0
377190,"home","2012-08-13",1,0
306670,"other","2012-03-16",0,NA
504096,"business","2012-04-13",0,NA
388189,"other","2012-06-21",0,NA
199147,"emergency_funds","2012-04-11",0,NA
319299,"investment","2012-02-21",0,NA
267742,"investment","2012-11-21",0,NA
290876,"business","2012-03-14",1,0
779815,"business","2012-03-14",0,NA
391848,"business","2012-09-25",1,0
619509,"investment","2012-04-12",0,NA
64153,"home","2012-04-04",1,1
379060,"other","2012-03-08",0,NA
980510,"emergency_funds","2012-06-12",0,NA
746955,"home","2012-07-12",1,1
91727,"emergency_funds","2012-06-20",1,0
816787,"emergency_funds","2012-03-01",0,NA
640752,"investment","2012-12-18",0,NA
937210,"business","2012-11-13",1,0
456530,"emergency_funds","2012-01-17",0,NA
73737,"investment","2012-11-01",0,NA
903316,"investment","2012-03-23",1,1
997032,"investment","2012-06-18",0,NA
319821,"home","2012-01-16",1,0
241018,"emergency_funds","2012-10-30",1,1
510631,"home","2012-10-12",0,NA
834961,"investment","2012-12-19",1,1
367854,"home","2012-02-22",1,1
851870,"other","2012-04-11",0,NA
42905,"investment","2012-08-20",0,NA
597727,"business","2012-06-04",1,1
434073,"business","2012-05-10",1,1
699164,"investment","2012-12-05",1,0
75190,"investment","2012-06-19",1,1
241510,"home","2012-11-01",0,NA
546218,"investment","2012-03-14",1,0
626213,"business","2012-04-24",0,NA
843258,"business","2012-02-21",1,1
505217,"investment","2012-05-02",1,1
82828,"investment","2012-08-15",0,NA
191638,"other","2012-09-12",0,NA
152763,"home","2012-10-08",1,1
804631,"investment","2012-09-25",1,0
498568,"emergency_funds","2012-04-04",0,NA
18409,"home","2012-12-03",0,NA
528987,"emergency_funds","2012-11-15",1,0
967002,"home","2012-05-23",1,0
826730,"business","2012-06-06",0,NA
244935,"investment","2012-09-13",1,1
282160,"other","2012-09-05",1,0
311173,"other","2012-03-09",0,NA
635829,"home","2012-07-12",0,NA
672083,"investment","2012-08-30",0,NA
593851,"investment","2012-05-15",1,1
334613,"emergency_funds","2012-02-02",1,1
428399,"investment","2012-05-29",1,1
273174,"business","2012-01-19",0,NA
769866,"other","2012-12-13",1,0
881940,"other","2012-05-11",0,NA
54178,"home","2012-07-17",1,1
431576,"other","2012-04-05",0,NA
841518,"home","2012-08-14",1,1
638330,"home","2012-08-01",1,0
126302,"emergency_funds","2012-01-09",0,NA
541341,"other","2012-12-05",1,1
58138,"emergency_funds","2012-08-09",0,NA
759205,"business","2012-04-11",0,NA
281837,"home","2012-07-31",1,0
945033,"other","2012-03-01",1,0
306858,"business","2012-02-16",1,1
669546,"business","2012-04-02",1,0
980042,"emergency_funds","2012-07-26",0,NA
200293,"home","2012-01-23",0,NA
667665,"business","2012-08-31",0,NA
503680,"other","2012-01-23",1,0
907431,"other","2012-11-26",0,NA
898635,"home","2012-02-21",1,1
224780,"home","2012-01-03",0,NA
821752,"business","2012-01-11",1,0
139441,"home","2012-10-11",0,NA
859801,"home","2012-09-24",0,NA
670672,"business","2012-07-27",1,0
674390,"other","2012-07-26",0,NA
941085,"other","2012-01-11",1,0
561958,"business","2012-04-09",0,NA
860056,"other","2012-12-26",1,1
824325,"investment","2012-10-09",0,NA
916003,"home","2012-06-28",1,1
460854,"business","2012-12-14",1,1
591749,"investment","2012-01-06",0,NA
916991,"business","2012-04-20",1,1
330384,"business","2012-10-10",0,NA
309480,"home","2012-11-06",1,1
373898,"business","2012-06-01",1,0
84753,"emergency_funds","2012-10-23",0,NA
98212,"investment","2012-02-20",0,NA
862179,"home","2012-07-24",0,NA
849961,"other","2012-05-21",1,1
656553,"investment","2012-07-18",0,NA
471372,"business","2012-06-28",1,1
172771,"home","2012-01-10",1,1
311200,"other","2012-01-03",0,NA
940286,"home","2012-11-14",0,NA
256064,"other","2012-11-06",0,NA
154608,"business","2012-09-03",1,1
176172,"emergency_funds","2012-05-16",0,NA
307302,"emergency_funds","2012-08-09",1,1
102250,"home","2012-05-22",1,0
962864,"emergency_funds","2012-05-25",0,NA
45229,"other","2012-03-14",0,NA
60124,"emergency_funds","2012-10-31",0,NA
408674,"other","2012-08-20",1,1
202610,"emergency_funds","2012-01-17",0,NA
573288,"home","2012-12-19",0,NA
634174,"other","2012-10-03",1,1
522623,"business","2012-10-26",0,NA
488400,"other","2012-05-23",0,NA
40352,"business","2012-01-30",0,NA
996483,"business","2012-09-12",0,NA
190016,"business","2012-02-27",1,1
927986,"emergency_funds","2012-05-08",1,1
261833,"investment","2012-02-10",0,NA
748862,"business","2012-06-28",1,1
936473,"home","2012-03-13",0,NA
978081,"investment","2012-07-24",1,1
742389,"emergency_funds","2012-01-24",0,NA
85825,"investment","2012-04-20",0,NA
713586,"business","2012-10-02",1,1
546025,"business","2012-11-12",1,0
436630,"home","2012-08-02",0,NA
910495,"business","2012-10-29",0,NA
164104,"investment","2012-03-22",1,1
515539,"business","2012-11-12",0,NA
706772,"other","2012-05-30",0,NA
830027,"home","2012-05-04",0,NA
279924,"business","2012-03-15",1,0
396477,"other","2012-06-27",0,NA
156159,"home","2012-10-29",1,1
316368,"business","2012-04-18",0,NA
278393,"other","2012-10-05",0,NA
506619,"home","2012-04-03",0,NA
903359,"emergency_funds","2012-08-06",0,NA
40045,"business","2012-03-09",0,NA
815756,"business","2012-12-05",1,1
428393,"business","2012-11-15",1,1
490717,"investment","2012-01-04",1,0
118181,"home","2012-11-21",1,1
98757,"home","2012-08-03",0,NA
252750,"home","2012-07-17",1,1
674764,"investment","2012-04-02",1,0
170222,"business","2012-09-28",1,1
930815,"investment","2012-03-26",1,0
736860,"investment","2012-08-28",1,1
491263,"business","2012-12-12",1,1
784141,"emergency_funds","2012-06-25",0,NA
912089,"emergency_funds","2012-04-24",1,1
598016,"emergency_funds","2012-03-20",1,0
139856,"other","2012-02-03",1,1
62227,"other","2012-03-29",1,1
384512,"other","2012-04-25",0,NA
804703,"business","2012-11-21",0,NA
833925,"other","2012-12-13",0,NA
909824,"emergency_funds","2012-04-04",1,1
312214,"business","2012-02-08",0,NA
71194,"emergency_funds","2012-10-03",0,NA
610544,"other","2012-07-04",1,0
547230,"home","2012-01-18",0,NA
526224,"investment","2012-03-12",0,NA
914285,"other","2012-10-23",1,1
482148,"emergency_funds","2012-05-21",1,0
561646,"investment","2012-07-25",1,0
542203,"investment","2012-07-13",0,NA
44053,"investment","2012-10-09",1,0
645636,"business","2012-09-21",1,1
132780,"investment","2012-06-15",0,NA
78115,"emergency_funds","2012-01-06",1,0
780068,"emergency_funds","2012-04-19",1,1
560234,"investment","2012-11-21",1,1
